emisiones_gei_por_cabeza_ganado_bovino_anio;emisiones_gei_por_cabeza_ganado_bovino;emisiones_gei_por_cabeza_ganado_bovino_unidad_medida
1990;1.58;tCO2eq / Cabeza
1991;1.57;tCO2eq / Cabeza
1992;1.57;tCO2eq / Cabeza
1993;1.62;tCO2eq / Cabeza
1994;1.62;tCO2eq / Cabeza
1995;1.61;tCO2eq / Cabeza
1996;1.60;tCO2eq / Cabeza
1997;1.60;tCO2eq / Cabeza
1998;1.59;tCO2eq / Cabeza
1999;1.62;tCO2eq / Cabeza
2000;1.62;tCO2eq / Cabeza
2001;1.60;tCO2eq / Cabeza
2002;1.55;tCO2eq / Cabeza
2003;1.48;tCO2eq / Cabeza
2004;1.47;tCO2eq / Cabeza
2005;1.47;tCO2eq / Cabeza
2006;1.44;tCO2eq / Cabeza
2007;1.41;tCO2eq / Cabeza
2008;1.40;tCO2eq / Cabeza
2009;1.42;tCO2eq / Cabeza
2010;1.45;tCO2eq / Cabeza
2011;1.45;tCO2eq / Cabeza
2012;1.42;tCO2eq / Cabeza
2013;1.41;tCO2eq / Cabeza
2014;1.40;tCO2eq / Cabeza
2015;1.40;tCO2eq / Cabeza
2016;1.37;tCO2eq / Cabeza
2017;1.37;tCO2eq / Cabeza
2018;1.37;tCO2eq / Cabeza
